identifier,city,state,country,openDate,distance,latitude,longitude,parentGeoNodeID,active,languageID,hasGasDepartment,hasTiresDepartment,hasFoodDepartment,hasHearingDepartment,hasPharmacyDepartment,hasOpticalDepartment,hasBusinessDepartment,hasPhotoCenterDepartment,gasPrices,locationName,isShipToWarehouse,isWarehousePickup,enableShipToHome,isBusinessWarehouse
164,RED DEER,AB,CA,3/12/1996,958.3940673,52.201,-113.817,10003,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1.009,Red Deer,TRUE,TRUE,FALSE,FALSE
180,LANTANA,FL,US,11/15/1984,368.7096858,26.587,-80.071,10290,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2.279,Lantana,TRUE,TRUE,FALSE,FALSE
181,MIAMI LAKES,FL,US,12/12/1992,109.2821017,25.919,-80.297,10290,1,-1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,2.169,Miami Lakes,TRUE,TRUE,FALSE,FALSE
183,ALTAMONTE SPRINGS,FL,US,6/20/1985,211.395974,28.662,-81.415,10290,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2.229,Altamonte Springs,TRUE,TRUE,FALSE,FALSE
185,WINTER PARK,FL,US,12/8/1999,219.6221957,28.597,-81.301,10290,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2.149,E Orlando,TRUE,TRUE,FALSE,FALSE
187,DULUTH,GA,US,11/13/1996,362.0777613,33.949,-84.143,10332,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2.129,Gwinnett,TRUE,TRUE,FALSE,FALSE
188,ATLANTA,GA,US,11/13/1996,350.1504499,33.928,-84.352,10332,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2.239,Perimeter,TRUE,TRUE,FALSE,FALSE
189,KENNESAW,GA,US,9/13/1997,339.7271244,34.005,-84.569,10332,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2.149,Town Center,TRUE,TRUE,FALSE,FALSE
202,NORFOLK,VA,US,11/19/1984,154.5061396,36.852,-76.201,10910,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2.169,Norfolk,TRUE,TRUE,FALSE,FALSE
203,GLEN BURNIE,MD,US,11/15/1985,260.8336027,39.197,-76.597,10497,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2.159,Glen Burnie,TRUE,TRUE,FALSE,FALSE
204,FAIRFAX,VA,US,11/28/1986,222.8415834,38.851,-77.373,10910,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2.259,Fairfax,TRUE,TRUE,FALSE,FALSE
205,GLEN ALLEN,VA,US,11/23/1991,379.4705325,37.641,-77.56,10910,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2.079,W Henrico,TRUE,TRUE,FALSE,FALSE
206,NESCONSET,NY,US,7/13/1987,99.94821031,40.862,-73.133,10685,1,-1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,Nesconset,TRUE,TRUE,FALSE,FALSE
208,BALTIMORE,MD,US,3/12/1988,274.4158395,39.359,-76.447,10497,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2.219,White Marsh,TRUE,TRUE,FALSE,FALSE
213,GAITHERSBURG,MD,US,7/28/1990,245.6100763,39.157,-77.213,10497,1,-1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,Gaithersburg,TRUE,TRUE,FALSE,FALSE
214,BELTSVILLE,MD,US,6/2/1990,243.5197876,39.033,-76.91,10497,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2.179,Beltsville,TRUE,TRUE,FALSE,FALSE
