ICAO Code,Manufacturer,Model,Engine Class,Number of Engines,Min Approach Speed,MTOW,MALW,Weight Class,Parking,Class,Registration Count
E290,EMBRAER,Embraer 190-E2,Jet,2,125,124340,108136,Medium,14921.7,Fixed-wing,0
E295,EMBRAER,Embraer 195-E2,Jet,2,136,135585,119049,Medium,17666.3,Fixed-wing,0
E35L,EMBRAER,Embraer 135BJ Legacy 600,Jet,2,124,44092,40785,Medium,6924.8,Fixed-wing,62
E45X,EMBRAER,Embraer ERJ 145 XR,Jet,2,124,53131,44092,Medium,8128.4,Fixed-wing,109
E50P,EMBRAER,Embraer 500 Phenom 100,Jet,2,100,10582,9766,Light,2369.9,Fixed-wing,210
E545,EMBRAER,Embraer EMB-545 Legacy 450,Jet,2,111,35724,32518,Medium,5317.3,Fixed-wing,65
E550,EMBRAER,Legacy 500/Praetor 600,Jet,2,113,38360,34524,Medium,5584.5,Fixed-wing,77
E55P,EMBRAER,Embraer Phenom 300,Jet,2,116,17968,16685,Medium,3502.1,Fixed-wing,450
E75L,EMBRAER,Embraer 175 long wing,Jet,2,126,85517,74957,Medium,12398.7,Fixed-wing,509
E75S,EMBRAER,Embraer 175 short wing,Jet,2,124,82673,74957,Medium,11347.4,Fixed-wing,76
EA50,ECLIPSE,Eclipse 500,Jet,2,91,5950,5415,Light,1799.4,Fixed-wing,252
ERCO,ERCO,Ercoupe 415,Piston,1,55,1260,1260,Light,1030,Fixed-wing,1048
EVOT,LANCAIR,Lancair Evolution Turbine,Turboprop,1,79,4550,4200,Light,1645,Fixed-wing,51
F2TH,DASSAULT,Dassault Falcon 2000,Jet,2,130,42400,39300,Medium,5237.3,Fixed-wing,443
F406,REIMS-CESSNA,Reims-Cessna F406 Caravan II,Turboprop,2,103,9850,9361,Light,2618,Fixed-wing,4
F900,DASSAULT,Dassault Falcon 900,Jet,3,130,49000,44500,Medium,5237,Fixed-wing,386
FA10,DASSAULT,Dassault Falcon/Mystère 10,Jet,2,107,18740,17640,Medium,2671.4,Fixed-wing,86
FA20,DASSAULT,Dassault Falcon/Mystère 20,Jet,2,107,28660,27320,Medium,3889.4,Fixed-wing,58
FA50,DASSAULT,Dassault Falcon/Mystère 50,Jet,3,124,39700,35715,Medium,4727.5,Fixed-wing,241
FA7X,DASSAULT,Dassault Falcon 7X,Jet,3,104,70000,62400,Medium,7783.7,Fixed-wing,135
FA8X,DASSAULT,Dassault Falcon 8X,Jet,3,106,73000,62400,Medium,8200.5,Fixed-wing,0
FDCT,FLIGHT DESIGN,Flight Design CT,Piston,1,51,1320,1320,Light,1017.3,Fixed-wing,352
G150,GULFSTREAM AEROSPACE,Gulfstream G150,Jet,2,130,26100,21700,Medium,4049.8,Fixed-wing,25
G164,GRUMMAN AMERICAN ,Grumman American G164,Piston,1,79,6075,6075,Light,1616.1,Fixed-wing,618
G280,GULFSTREAM AEROSPACE,Gulfstream G280,Jet,2,125,39600,32700,Medium,5243.8,Fixed-wing,199
GA5C,GULFSTREAM AEROSPACE,Gulfstream Aerospace Gulfstream G7-G500,Jet,2,130,79600,64350,Medium,9341,Fixed-wing,92
GA6C,GULFSTREAM AEROSPACE,Gulfstream Aerospace Gulfstream G7-G600,Jet,2,136,94600,76800,Medium,10613.7,Fixed-wing,85
GA7,GULFSTREAM AMERICAN - GRUMMAN AMERICAN,Gulfstream American GA7,Piston,2,82,3800,3800,Light,1576.8,Fixed-wing,42
GALX,GULFSTREAM AEROSPACE-IAI,IAI 1126 Galaxy/Gulfstream G200,Jet,2,130,35650,30000,Medium,4578.6,Fixed-wing,131
GC1,GLOBE,Globe GC-1 Swift,Piston,1,48,1975,1975,Light,1013.9,Fixed-wing,539
GL5T,BOMBARDIER,Bombardier BD-700 Global 5000,Jet,2,128,92500,78600,Medium,10590.7,Fixed-wing,121
GL7T,BOMBARDIER,Bombardier BD-700 Global 7500,Jet,2,118,106250,85799,Medium,13214.3,Fixed-wing,42
GLEX,BOMBARDIER,Bombardier BD-700 Global Express,Jet,2,131,99500,78600,Medium,10859.3,Fixed-wing,305
GLF2,GULFSTREAM AEROSPACE,Gulfstream II,Jet,2,125,62000,58500,Medium,6694.2,Fixed-wing,29
GLF3,GULFSTREAM AEROSPACE,Gulfstream III,Jet,2,125,69700,58500,Medium,7736.6,Fixed-wing,74
GLF4,GULFSTREAM AEROSPACE,Gulfstream IV/G400,Jet,2,150,73200,66000,Medium,8197.5,Fixed-wing,11
GLF5,GULFSTREAM AEROSPACE,Gulfstream V/G500,Jet,2,145,90500,75300,Medium,10497,Fixed-wing,6
GLF6,GULFSTREAM AEROSPACE,Gulfstream G650,Jet,2,110,99600,83500,Medium,11478.9,Fixed-wing,57
H25A,HAWKER SIDDELEY,HS 125-1/2/3/400/600,Jet,2,125,25000,22046,Medium,3163.5,Fixed-wing,9
H25B,BRITISH AEROSPACE - HAWKER SIDDELEY,BAe HS 125/700-800/Hawker 800,Jet,2,137,28000,23350,Medium,3447.7,Fixed-wing,482
H25C,BRITISH AEROSPACE RAYTHEON,BAe/Raytheon HS 125-1000,Jet,2,132,31100,25000,Medium,3615.3,Fixed-wing,12
HA4T,HAWKER,Hawker 4000,Jet,2,128,39500,33500,Medium,5321.5,Fixed-wing,47
HAWK,BRITISH AEROSPACE,BAe T-45 Goshawk,Jet,1,139,11244,10249,Medium,1806.2,Fixed-wing,221
HDJT,HONDA,HONDA HA-420 HondaJet,Jet,2,111,9039,9859,Light,2300.4,Fixed-wing,184
HUSK,AVIAT,AVIAT Huskey ,Piston,1,60,2000,2000,Light,1255.8,Fixed-wing,898
IL76,ILYUSHIN,Ilyushin IL 76,Jet,4,119,374782,336202,Heavy,27743,Fixed-wing,0
J328,FAIRCHILD DORNIER,Fairchild Dornier 328 Jet,Jet,2,115,34524,31725,Medium,5886.4,Fixed-wing,46
JS32,BRITISH AEROSPACE,BAe Jetstream super 31,Turboprop,2,109,15332,15609,Medium,3230.2,Fixed-wing,3
JS41,BRITISH AEROSPACE,BAe Jetstream 41,Turboprop,2,131,24000,22300,Medium,4801.3,Fixed-wing,7
K35R,BOEING,Boeing KC-135 Stratotanker,Jet,4,135,322500,119231,Heavy,19895,Fixed-wing,4
KODI,QUEST,Quest Kodiak,Turboprop,1,73,7255,7255,Light,2156,Fixed-wing,170
L29B,LOCKHEED,Lockheed Jetstar 2/731,Jet,4,97,44500,36000,Medium,4198.8,Fixed-wing,7
L8,LUSCOMBE,Luscombe 8,Piston,1,46,1400,1400,Light,1125,Fixed-wing,1670
LA4,LAKE,Lake LA-4,Piston,1,51,2690,2690,Light,1436.2,Amphibian,139
LJ23,LEARJET,Bombardier Learjet 23,Jet,2,128,12500,11880,Light,2199.2,Fixed-wing,7
LJ24,LEARJET,Bombardier Learjet 24,Jet,2,128,13000,11880,Light,2199.4,Fixed-wing,37
LJ25,LEARJET,Bombardier Learjet 25,Jet,2,137,15000,12499,Light,2396.9,Fixed-wing,43
LJ31,LEARJET,Bombardier Learjet 31,Jet,2,120,15500,15300,Medium,2889.1,Fixed-wing,133
LJ35,LEARJET,Bombardier Learjet 35/36,Jet,2,128,18300,14300,Medium,2656.7,Fixed-wing,283
LJ40,LEARJET,Learjet 40,Jet,2,123,21000,19200,Medium,3499.2,Fixed-wing,81
LJ45,LEARJET,Bombardier Learjet 45,Jet,2,123,21500,19200,Medium,3643.5,Fixed-wing,398
LJ55,LEARJET,Bombardier Learjet 55,Jet,2,125,19500,17000,Medium,3234.5,Fixed-wing,87
LJ60,LEARJET,Bombardier Learjet 60,Jet,2,125,22750,19500,Medium,3422.1,Fixed-wing,275
LJ70,LEARJET,Learjet 70,Jet,2,125,21500,19200,Medium,3716.1,Fixed-wing,11
LJ75,LEARJET,Learjet 75,Jet,2,125,21500,19200,Medium,3837.8,Fixed-wing,66
LNC4,LANCAIR,Lancair IV,Piston,1,81,3200,3000,Light,1278,Fixed-wing,62
M20P,MOONEY,Mooney M-20C Ranger,Piston,1,77,3374,3200,Light,1463.7,Fixed-wing,1254
M20T,MOONEY,Mooney M20K Encore/M20M Bravo,Piston,1,77,3368,3200,Light,1465.4,Fixed-wing,1025
M5,MAULE,Maule M-5,Piston,1,43,2300,2300,Light,1162.8,Fixed-wing,357
MD11,BOEING-MCDONNELL DOUGLAS,Boeing (Douglas) MD 11,Jet,3,158,602500,430000,Heavy,37394.2,Fixed-wing,132
MD81,BOEING-MCDONNELL DOUGLAS,Boeing (Douglas) MD 81,Jet,2,134,140000,128000,Medium,18011,Fixed-wing,1
